id,silhouette_score,eps,min_samples,algorithm,min_samples,procent_cal
1,0.8204414882923589,0.1,cityblock,auto,5,0.76125
2,0.9863265187590117,0.1,cityblock,auto,10,0.985625
3,-1,0.1,cityblock,auto,15,1.0
4,-1,0.1,cityblock,auto,20,1.0
5,-1,0.1,cityblock,auto,25,1.0
6,0.3611333658365748,0.2,cityblock,auto,5,0.188125
7,0.5078362533473202,0.2,cityblock,auto,10,0.661875
8,0.857950658349554,0.2,cityblock,auto,15,0.938125
9,0.9698653599214957,0.2,cityblock,auto,20,0.97375
10,-1,0.2,cityblock,auto,25,1.0
11,-0.19330103801717322,0.3,cityblock,auto,5,0.0075
12,0.246196220616447,0.3,cityblock,auto,10,0.1775
13,0.39029281947549255,0.3,cityblock,auto,15,0.52875
14,0.4959429861777547,0.3,cityblock,auto,20,0.72375
15,0.6406477715378767,0.3,cityblock,auto,25,0.850625
16,0.06550765047422842,0.4,cityblock,auto,5,0.000625
17,0.1597358019502662,0.4,cityblock,auto,10,0.011875
18,0.15008796434336355,0.4,cityblock,auto,15,0.099375
19,0.3800561008286193,0.4,cityblock,auto,20,0.29625
20,0.42864409119479124,0.4,cityblock,auto,25,0.533125
21,0.8204414882923589,0.1,cityblock,ball_tree,5,0.76125
22,0.9863265187590117,0.1,cityblock,ball_tree,10,0.985625
23,-1,0.1,cityblock,ball_tree,15,1.0
24,-1,0.1,cityblock,ball_tree,20,1.0
25,-1,0.1,cityblock,ball_tree,25,1.0
26,0.3611333658365748,0.2,cityblock,ball_tree,5,0.188125
27,0.5078362533473202,0.2,cityblock,ball_tree,10,0.661875
28,0.857950658349554,0.2,cityblock,ball_tree,15,0.938125
29,0.9698653599214957,0.2,cityblock,ball_tree,20,0.97375
30,-1,0.2,cityblock,ball_tree,25,1.0
31,-0.19330103801717322,0.3,cityblock,ball_tree,5,0.0075
32,0.246196220616447,0.3,cityblock,ball_tree,10,0.1775
33,0.39029281947549255,0.3,cityblock,ball_tree,15,0.52875
34,0.4959429861777547,0.3,cityblock,ball_tree,20,0.72375
35,0.6406477715378767,0.3,cityblock,ball_tree,25,0.850625
36,0.06550765047422842,0.4,cityblock,ball_tree,5,0.000625
37,0.1597358019502662,0.4,cityblock,ball_tree,10,0.011875
38,0.15008796434336355,0.4,cityblock,ball_tree,15,0.099375
39,0.3800561008286193,0.4,cityblock,ball_tree,20,0.29625
40,0.42864409119479124,0.4,cityblock,ball_tree,25,0.533125
41,0.8204414882923589,0.1,cityblock,kd_tree,5,0.76125
42,0.9863265187590117,0.1,cityblock,kd_tree,10,0.985625
43,-1,0.1,cityblock,kd_tree,15,1.0
44,-1,0.1,cityblock,kd_tree,20,1.0
45,-1,0.1,cityblock,kd_tree,25,1.0
46,0.3611333658365748,0.2,cityblock,kd_tree,5,0.188125
47,0.5078362533473202,0.2,cityblock,kd_tree,10,0.661875
48,0.857950658349554,0.2,cityblock,kd_tree,15,0.938125
49,0.9698653599214957,0.2,cityblock,kd_tree,20,0.97375
50,-1,0.2,cityblock,kd_tree,25,1.0
51,-0.19330103801717322,0.3,cityblock,kd_tree,5,0.0075
52,0.246196220616447,0.3,cityblock,kd_tree,10,0.1775
53,0.39029281947549255,0.3,cityblock,kd_tree,15,0.52875
54,0.4959429861777547,0.3,cityblock,kd_tree,20,0.72375
55,0.6406477715378767,0.3,cityblock,kd_tree,25,0.850625
56,0.06550765047422842,0.4,cityblock,kd_tree,5,0.000625
57,0.1597358019502662,0.4,cityblock,kd_tree,10,0.011875
58,0.15008796434336355,0.4,cityblock,kd_tree,15,0.099375
59,0.3800561008286193,0.4,cityblock,kd_tree,20,0.29625
60,0.42864409119479124,0.4,cityblock,kd_tree,25,0.533125
61,0.8204414882923589,0.1,cityblock,brute,5,0.76125
62,0.9863265187590117,0.1,cityblock,brute,10,0.985625
63,-1,0.1,cityblock,brute,15,1.0
64,-1,0.1,cityblock,brute,20,1.0
65,-1,0.1,cityblock,brute,25,1.0
66,0.3611333658365748,0.2,cityblock,brute,5,0.188125
67,0.5078362533473202,0.2,cityblock,brute,10,0.661875
68,0.857950658349554,0.2,cityblock,brute,15,0.938125
69,0.9698653599214957,0.2,cityblock,brute,20,0.97375
70,-1,0.2,cityblock,brute,25,1.0
71,-0.19330103801717322,0.3,cityblock,brute,5,0.0075
72,0.246196220616447,0.3,cityblock,brute,10,0.1775
73,0.39029281947549255,0.3,cityblock,brute,15,0.52875
74,0.4959429861777547,0.3,cityblock,brute,20,0.72375
75,0.6406477715378767,0.3,cityblock,brute,25,0.850625
76,0.06550765047422842,0.4,cityblock,brute,5,0.000625
77,0.1597358019502662,0.4,cityblock,brute,10,0.011875
78,0.15008796434336355,0.4,cityblock,brute,15,0.099375
79,0.3800561008286193,0.4,cityblock,brute,20,0.29625
80,0.42864409119479124,0.4,cityblock,brute,25,0.533125
81,0.7244484263628753,0.1,euclidean,auto,5,0.63625
82,0.9204972488808666,0.1,euclidean,auto,10,0.94125
83,-1,0.1,euclidean,auto,15,1.0
84,-1,0.1,euclidean,auto,20,1.0
85,-1,0.1,euclidean,auto,25,1.0
86,0.0968306421633878,0.2,euclidean,auto,5,0.04625
87,0.37391313216264327,0.2,euclidean,auto,10,0.40375
88,0.5216722763867446,0.2,euclidean,auto,15,0.71875
89,0.8428169683514102,0.2,euclidean,auto,20,0.91625
90,-1,0.2,euclidean,auto,25,1.0
91,0.10551145323511579,0.3,euclidean,auto,5,0.000625
92,0.09364398124932814,0.3,euclidean,auto,10,0.03625
93,0.2619564796073074,0.3,euclidean,auto,15,0.161875
94,0.43548768942876404,0.3,euclidean,auto,20,0.393125
95,0.44680686019708676,0.3,euclidean,auto,25,0.594375
96,0.06547974238735041,0.4,euclidean,auto,5,0.0
97,0.06535461658580653,0.4,euclidean,auto,10,0.001875
98,0.06651135955043706,0.4,euclidean,auto,15,0.01
99,0.1947622793684552,0.4,euclidean,auto,20,0.03875
100,0.41405885194124115,0.4,euclidean,auto,25,0.156875
101,0.7244484263628753,0.1,euclidean,ball_tree,5,0.63625
102,0.9204972488808666,0.1,euclidean,ball_tree,10,0.94125
103,-1,0.1,euclidean,ball_tree,15,1.0
104,-1,0.1,euclidean,ball_tree,20,1.0
105,-1,0.1,euclidean,ball_tree,25,1.0
106,0.0968306421633878,0.2,euclidean,ball_tree,5,0.04625
107,0.37391313216264327,0.2,euclidean,ball_tree,10,0.40375
108,0.5216722763867446,0.2,euclidean,ball_tree,15,0.71875
109,0.8428169683514102,0.2,euclidean,ball_tree,20,0.91625
110,-1,0.2,euclidean,ball_tree,25,1.0
111,0.10551145323511579,0.3,euclidean,ball_tree,5,0.000625
112,0.09364398124932814,0.3,euclidean,ball_tree,10,0.03625
113,0.2619564796073074,0.3,euclidean,ball_tree,15,0.161875
114,0.43548768942876404,0.3,euclidean,ball_tree,20,0.393125
115,0.44680686019708676,0.3,euclidean,ball_tree,25,0.594375
116,0.06547974238735041,0.4,euclidean,ball_tree,5,0.0
117,0.06535461658580653,0.4,euclidean,ball_tree,10,0.001875
118,0.06651135955043706,0.4,euclidean,ball_tree,15,0.01
119,0.1947622793684552,0.4,euclidean,ball_tree,20,0.03875
120,0.41405885194124115,0.4,euclidean,ball_tree,25,0.156875
121,0.7244484263628753,0.1,euclidean,kd_tree,5,0.63625
122,0.9204972488808666,0.1,euclidean,kd_tree,10,0.94125
123,-1,0.1,euclidean,kd_tree,15,1.0
124,-1,0.1,euclidean,kd_tree,20,1.0
125,-1,0.1,euclidean,kd_tree,25,1.0
126,0.0968306421633878,0.2,euclidean,kd_tree,5,0.04625
127,0.37391313216264327,0.2,euclidean,kd_tree,10,0.40375
128,0.5216722763867446,0.2,euclidean,kd_tree,15,0.71875
129,0.8428169683514102,0.2,euclidean,kd_tree,20,0.91625
130,-1,0.2,euclidean,kd_tree,25,1.0
131,0.10551145323511579,0.3,euclidean,kd_tree,5,0.000625
132,0.09364398124932814,0.3,euclidean,kd_tree,10,0.03625
133,0.2619564796073074,0.3,euclidean,kd_tree,15,0.161875
134,0.43548768942876404,0.3,euclidean,kd_tree,20,0.393125
135,0.44680686019708676,0.3,euclidean,kd_tree,25,0.594375
136,0.06547974238735041,0.4,euclidean,kd_tree,5,0.0
137,0.06535461658580653,0.4,euclidean,kd_tree,10,0.001875
138,0.06651135955043706,0.4,euclidean,kd_tree,15,0.01
139,0.1947622793684552,0.4,euclidean,kd_tree,20,0.03875
140,0.41405885194124115,0.4,euclidean,kd_tree,25,0.156875
141,0.7281813627839407,0.1,euclidean,brute,5,0.63875
142,0.9204972488808666,0.1,euclidean,brute,10,0.94125
143,-1,0.1,euclidean,brute,15,1.0
144,-1,0.1,euclidean,brute,20,1.0
145,-1,0.1,euclidean,brute,25,1.0
146,0.0968306421633878,0.2,euclidean,brute,5,0.04625
147,0.3611118357123841,0.2,euclidean,brute,10,0.398125
148,0.5216722763867446,0.2,euclidean,brute,15,0.71875
149,0.8428169683514102,0.2,euclidean,brute,20,0.91625
150,-1,0.2,euclidean,brute,25,1.0
151,0.10551145323511579,0.3,euclidean,brute,5,0.000625
152,0.09364398124932814,0.3,euclidean,brute,10,0.03625
